,Latitude,Wind Speed
309,43.32,4.99
310,27.52,2.6
311,8.96,4.1
312,62.65,3.09
313,50.08,4.49
314,-16.23,7.51
315,50.29,3.39
316,-17.73,6.24
317,70.47,5.1
318,22.89,3.6
319,62.16,3.01
320,24.34,5.94
321,54.72,5.34
322,30.78,0.56
323,47.83,0.46
324,-1.85,5.1
325,36.95,6.2
326,35.37,2.1
327,-5.23,1.71
328,-0.92,2.79
329,32.65,5.1
330,50.81,3.0
331,-22.09,1.96
332,15.17,1.61
333,-21.2,2.6
334,32.21,1.0
335,28.21,0.76
336,47.8,1.71
337,-10.7,1.49
338,41.28,11.8
339,34.64,3.54
340,7.99,2.29
341,71.98,4.19
342,64.7,2.11
343,-15.77,1.0
344,-10.46,8.96
345,53.51,7.74
346,4.12,3.41
347,34.69,2.41
348,38.2,1.44
349,37.17,9.34
350,-5.83,3.39
351,-25.3,4.66
352,32.3,3.1
353,18.44,8.2
354,58.04,2.51
355,-21.53,4.1
356,16.86,2.6
357,23.94,2.1
358,50.85,3.19
359,54.32,5.1
360,39.65,4.1
361,-22.19,2.6
362,31.35,3.1
363,-29.95,6.7
364,17.54,1.59
365,37.85,1.0
366,22.29,1.44
367,17.01,2.1
368,68.05,2.39
369,21.46,9.24
370,-43.3,5.16
371,-20.34,1.0
372,44.08,4.1
373,48.07,4.1
374,-10.07,1.84
375,47.24,3.6
376,48.75,5.7
377,31.42,5.7
378,11.09,2.01
379,-28.77,4.84
380,60.89,5.21
381,63.17,2.6
382,39.93,7.7
383,20.35,6.39
384,37.57,1.0
385,38.76,5.1
386,67.8,1.26
387,-7.84,5.1
388,-43.03,7.7
389,5.71,3.74
390,-5.2,7.66
391,-25.17,6.41
392,36.73,8.7
393,32.12,0.69
394,53.8,7.7
395,45.51,5.1
396,-1.3,5.1
397,49.6,1.39
398,27.12,2.79
399,47.59,1.5
400,45.93,2.01
401,9.82,6.21
402,53.13,2.06
403,-26.98,1.74
404,41.63,2.6
405,49.78,4.1
406,42.44,6.7
407,18.49,8.7
408,18.62,1.29
409,-16.35,4.29
410,-8.93,0.79
411,33.64,4.59
412,-9.8,3.36
413,31.46,8.2
414,-8.65,0.11
415,-34.48,1.59
416,10.3,1.26
417,1.74,0.71
418,43.41,1.46
419,-25.24,4.1
420,65.8,3.54
421,-13.74,3.6
422,66.04,1.24
423,50.72,3.09
424,52.87,4.1
425,-25.04,4.21
426,-2.54,0.81
427,27.86,2.61
428,52.61,4.6
429,18.47,4.1
430,6.93,1.5
431,64.42,4.09
432,-16.28,7.7
433,43.42,1.5
434,-8.84,1.46
435,31.45,4.29
436,38.73,6.89
437,-22.95,1.36
438,54.08,10.8
439,25.52,1.36
440,57.54,5.54
441,-35.1,9.31
442,58.52,3.1
443,48.58,1.5
444,46.68,1.5
445,5.36,0.94
446,51.53,3.29
447,48.84,5.1
448,43.32,3.1
449,39.12,4.1
450,46.72,9.8
451,21.35,2.1
452,37.46,3.1
453,5.35,3.86
454,-7.38,0.61
455,35.47,2.1
456,48.64,2.6
457,18.46,3.1
458,46.68,1.36
459,19.93,1.44
460,13.05,2.49
461,26.54,2.84
462,67.55,4.61
463,38.18,3.1
464,30.59,0.94
465,36.17,1.24
466,6.62,2.41
467,27.21,2.1
468,-14.47,2.1
469,-37.83,2.29
470,-33.13,9.3
471,33.83,1.59
472,39.18,2.1
473,5.96,1.89
474,29.06,6.2
475,-8.35,2.34
476,-33.73,3.6
477,59.36,6.79
478,60.4,10.3
